Rho at Nucleus;DelSqRho;V;G;K;L;Vnuc;Ven;Vrep;DelSqV;DelSqVen;DelSqVrep;DelSqG;DelSqK;ESP;ESP at Nucleus;ESPe;ESPe at Nucleus;ESPn;ESPn at Nucleus;q(A);L(A);K(A);|Mu_Intra(A)|;Shift;Brutto;Complex;Geometry;Charge_class;Ligand;Source_doi;Molecular dipole;Smiles
1858098.718;-10166400000000.0;-2542040000000.0;217397763.7;2541820000000.0;2541610000000.0;7800000030;-1.44932e+16;1.44906e+16;4.05931e+19;4.35e+32;-4.34794e+32;4.63654e+18;-4.52296e+19;-610.4403966;-610.4403966;-640.350774;-640.350774;29.91037745;29.91037745;0.890592614;-0.000409044;24953.58169;0.191738688;-583;cis-[PtCl4Br2] 2-;40;oct;anion;hal;https://doi.org/10.1002/ejic.201600573;0.24;[Pt-2]([Br])([Br])([Cl])([Cl])([Cl])[Cl]
1858098.783;-10166400000000.0;-2542040000000.0;217397729.0;2541820000000.0;2541610000000.0;7800000030;-1.44932e+16;1.44906e+16;4.05931e+19;4.35e+32;-4.34795e+32;4.63654e+18;-4.52296e+19;-610.4405225;-610.4405225;-640.3263201;-640.3263201;29.88579753;29.88579753;0.891781191;-0.000366487;24953.58194;0.001159283;-585;trans-[PtCl4Br2] 2-;41;oct;anion;hal;https://doi.org/10.1002/ejic.201600573;0.00112;[Pt-2]([Br])([Cl])([Cl])([Br])([Cl])[Cl]
1858098.653;-10166400000000.0;-2542040000000.0;217397734.3;2541820000000.0;2541610000000.0;7800000029;-1.44932e+16;1.44906e+16;4.05931e+19;4.35e+32;-4.34794e+32;4.63654e+18;-4.52296e+19;-610.4407303;-610.4407303;-639.7271337;-639.7271337;29.28640339;29.28640339;0.866235885;-9.49e-05;24953.59148;0.332167452;-854;[PtCl5I]2-;42;oct;anion;hal;https://doi.org/10.1002/ejic.201600573;0.296;[Pt-2]([Cl])([Cl])([Cl])([Cl])([Cl])[I]
1858098.694;-10166400000000.0;-2542040000000.0;217396760.2;2541820000000.0;2541610000000.0;7800000034;-1.44932e+16;1.44906e+16;4.05931e+19;4.35e+32;-4.34793e+32;4.63654e+18;-4.52296e+19;-610.4388175;-610.4388175;-643.9145252;-643.9145252;33.47570774;33.47570774;0.823502994;0.000128106;24953.59864;0.237471614;-892;fac-[PtCl3Br3] 2-;43;oct;anion;hal;https://doi.org/10.1002/ejic.201600573;0.28;[Pt-2]([Cl])([Cl])([Cl])([Br])([Br])[Br]
1858098.756;-10166400000000.0;-2542040000000.0;217396718.4;2541820000000.0;2541610000000.0;7800000034;-1.44932e+16;1.44906e+16;4.05931e+19;4.35e+32;-4.34795e+32;4.63654e+18;-4.52296e+19;-610.4389416;-610.4389416;-643.890197;-643.890197;33.45125537;33.45125537;0.824826501;3.71e-05;24953.59904;0.139572571;-894;mer-[PtCl3Br3] 2-;44;oct;anion;hal;https://doi.org/10.1002/ejic.201600573;0.165;[Pt-2]([Cl])([Cl])([Br])([Br])([Br])[Cl]
1858098.709;-10166400000000.0;-2542040000000.0;217395716.0;2541820000000.0;2541610000000.0;7800000037;-1.44932e+16;1.44906e+16;4.05931e+19;4.35e+32;-4.34794e+32;4.63654e+18;-4.52296e+19;-610.4374994;-610.4374994;-647.4559433;-647.4559433;37.01844389;37.01844389;0.755770977;-0.000395682;24953.61519;0.196371338;-1213;cis-[PtCl2Br4] 2-;45;oct;anion;hal;https://doi.org/10.1002/ejic.201600573;0.219;[Pt-2]([Br])([Br])([Br])([Br])([Cl])[Cl]
1858098.766;-10166400000000.0;-2542040000000.0;217395670.3;2541820000000.0;2541610000000.0;7800000037;-1.44932e+16;1.44906e+16;4.05931e+19;4.35e+32;-4.34795e+32;4.63654e+18;-4.52296e+19;-610.4376034;-610.4376034;-647.4289903;-647.4289903;36.99138682;36.99138682;0.757127895;-0.000352527;24953.61503;0.004460847;-1216;trans-[PtCl2Br4] 2-;46;oct;anion;hal;https://doi.org/10.1002/ejic.201600573;0.00443;[Pt-2]([Cl])([Br])([Br])([Cl])([Br])[Br]
1858098.704;-10166400000000.0;-2542040000000.0;217394674.2;2541820000000.0;2541610000000.0;7800000041;-1.44932e+16;1.44906e+16;4.05931e+19;4.35e+32;-4.34795e+32;4.63654e+18;-4.52296e+19;-610.4363188;-610.4363188;-651.0003501;-651.0003501;40.56403136;40.56403136;0.688624762;2.42e-05;24953.63175;0.14310117;-1547;[PtClBr5] 2-;47;oct;anion;hal;https://doi.org/10.1002/ejic.201600573;0.151;[Pt-2]([Br])([Br])([Br])([Br])([Cl])[Br]
1858098.493;-10166400000000.0;-2542040000000.0;217395713.4;2541820000000.0;2541610000000.0;7800000036;-1.44932e+16;1.44906e+16;4.05931e+19;4.35e+32;-4.34793e+32;4.63654e+18;-4.52296e+19;-610.4380105;-610.4380105;-646.2328532;-646.2328532;35.79484269;35.79484269;0.703020262;7.69e-05;24953.63515;0.483071436;-1806;cis-[PtCl4I2] 2-;48;oct;anion;hal;https://doi.org/10.1002/ejic.201600573;0.376;[Pt-2]([Cl])([Cl])([Cl])([Cl])([I])[I]
1858098.842;-10166400000000.0;-2542040000000.0;217395560.3;2541820000000.0;2541610000000.0;7800000036;-1.44932e+16;1.44906e+16;4.05931e+19;4.35e+32;-4.34795e+32;4.63654e+18;-4.52296e+19;-610.4383195;-610.4383195;-646.1002601;-646.1002601;35.66194065;35.66194065;0.718501331;0.000293906;24953.63252;0.000616267;-1884;trans-[PtCl4I2] 2-;49;oct;anion;hal;https://doi.org/10.1002/ejic.201600573;0.000594;[Pt-2]([Cl])([Cl])([I])([Cl])([Cl])[I]
