Rho at Nucleus,DelSqRho,V,G,K,L,Vnuc,Ven,Vrep,DelSqV,DelSqVen,DelSqVrep,DelSqG,DelSqK,ESP,ESP at Nucleus,ESPe,ESPe at Nucleus,ESPn,ESPn at Nucleus,q(A),L(A),K(A),K_Scaled(A),|Mu_Intra(A)|,Shift,Brutto,Complex,Geometry,Charge_class,Ligand,Source_doi,Molecular dipole,Smiles
1858097.558,-1.01664E+13,-2.54204E+12,217402334.8,2.54182E+12,2.5416E+12,7800000030,-1.44932E+16,1.44906E+16,4.0593E+19,4.35E+32,-4.3479E+32,4.63654E+18,-4.52296E+19,-610.4554376,-610.4554376,-639.9723239,-639.9723239,29.51688632,29.51688632,1.284572456,8.98E-05,24953.49679,-24953.49679,0.794003143,2487,fac-[PtBr3F3] 2-,35,oct,anion,hal,https://doi.org/10.1002/ejic.201600573,8.70E-01,[Pt-2]([F])([F])([F])([Br])([Br])[Br]
1858097.936,-1.01664E+13,-2.54204E+12,217403219.8,2.54182E+12,2.5416E+12,7800000020,-1.44932E+16,1.44906E+16,4.0593E+19,4.35E+32,-4.34794E+32,4.63654E+18,-4.52296E+19,-610.4576007,-610.4576007,-630.5329915,-630.5329915,20.07539074,20.07539074,1.330568478,0.000293334,24953.47853,-24953.47853,0.452343108,2171,cis-[PtCl4F2] 2-,36,oct,anion,hal,https://doi.org/10.1002/ejic.201600573,4.34E-01,[Pt-2]([Cl])([Cl])([Cl])([Cl])([F])[F]
1858098.378,-1.01664E+13,-2.54204E+12,217398388.4,2.54182E+12,2.54161E+12,7800000034,-1.44932E+16,1.44906E+16,4.05931E+19,4.35E+32,-4.34795E+32,4.63654E+18,-4.52296E+19,-610.4488707,-610.4488707,-644.7376809,-644.7376809,34.28881017,34.28881017,1.074831733,-9.76E-06,24953.54716,-24953.54716,0.002188923,1157,trans-[PtBr4F2] 2-,37,oct,anion,hal,https://doi.org/10.1002/ejic.201600573,2.17E-03,[Pt-2]([F])([Br])([Br])([F])([Br])[Br]
1858098.323,-1.01664E+13,-2.54204E+12,217399376.3,2.54182E+12,2.54161E+12,7800000034,-1.44932E+16,1.44906E+16,4.05931E+19,4.35E+32,-4.34792E+32,4.63654E+18,-4.52296E+19,-610.4473313,-610.4473313,-644.8551939,-644.8551939,34.40786265,34.40786265,1.066663995,-0.000245653,24953.55041,-24953.55041,0.653880295,1142,cis-[PtBr4F2] 2-,38,oct,anion,hal,https://doi.org/10.1002/ejic.201600573,6.08E-01,[Pt-2]([F])([Br])([Br])([Br])([Br])[F]
1858098.437,-1.01664E+13,-2.54204E+12,217401499.2,2.54182E+12,2.54161E+12,7800000021,-1.44932E+16,1.44906E+16,4.05931E+19,4.35E+32,-4.34795E+32,4.63654E+18,-4.52296E+19,-610.4503873,-610.4503873,-631.8880889,-631.8880889,21.43770165,21.43770165,1.17842527,-0.000214596,24953.5131,-24953.5131,0.32118762,1111,[PtCl5F]2-,39,oct,anion,hal,https://doi.org/10.1002/ejic.201600573,2.75E-01,[Pt-2]([F])([Cl])([Cl])([Cl])([Cl])[Cl]
1858098.706,-1.01664E+13,-2.54204E+12,217399777.6,2.54182E+12,2.54161E+12,7800000023,-1.44932E+16,1.44906E+16,4.05931E+19,4.35E+32,-4.34795E+32,4.63654E+18,-4.52296E+19,-610.4440462,-610.4440462,-633.2353811,-633.2353811,22.79133489,22.79133489,1.023608485,-0.000365173,24953.54663,-24953.54663,0.002388935,0,[PtCl6] 2-,40,oct,anion,hal,https://doi.org/10.1002/ejic.201600573,2.36E-03,[Pt-2]([Cl])([Cl])([Cl])([Cl])([Cl])[Cl]
1858098.727,-1.01664E+13,-2.54204E+12,217398777.3,2.54182E+12,2.54161E+12,7800000026,-1.44932E+16,1.44906E+16,4.05931E+19,4.35E+32,-4.34795E+32,4.63654E+18,-4.52296E+19,-610.4421392,-610.4421392,-636.7919402,-636.7919402,26.34980107,26.34980107,0.958363484,0.000386478,24953.56468,-24953.56468,0.135690195,-286,[PtCl5Br]2-,41,oct,anion,hal,https://doi.org/10.1002/ejic.201600573,1.79E-01,[Pt-2]([Cl])([Cl])([Cl])([Cl])([Cl])[Br]
1858098.666,-1.01664E+13,-2.54204E+12,217396463.7,2.54182E+12,2.54161E+12,7800000039,-1.44932E+16,1.44906E+16,4.05931E+19,4.35E+32,-4.34793E+32,4.63654E+18,-4.52296E+19,-610.440682,-610.440682,-649.7119451,-649.7119451,39.27126308,39.27126308,0.845112385,-0.000243555,24953.60026,-24953.60026,0.465493979,-311,[PtBr5F]2-,42,oct,anion,hal,https://doi.org/10.1002/ejic.201600573,3.71E-01,[Pt-2]([Br])([F])([Br])([Br])([Br])[Br]
1858098.718,-1.01664E+13,-2.54204E+12,217397763.7,2.54182E+12,2.54161E+12,7800000030,-1.44932E+16,1.44906E+16,4.05931E+19,4.35E+32,-4.34794E+32,4.63654E+18,-4.52296E+19,-610.4403966,-610.4403966,-640.350774,-640.350774,29.91037745,29.91037745,0.890592614,-0.000409044,24953.58169,-24953.58169,0.191738688,-583,cis-[PtCl4Br2] 2-,43,oct,anion,hal,https://doi.org/10.1002/ejic.201600573,2.40E-01,[Pt-2]([Br])([Br])([Cl])([Cl])([Cl])[Cl]
1858098.783,-1.01664E+13,-2.54204E+12,217397729,2.54182E+12,2.54161E+12,7800000030,-1.44932E+16,1.44906E+16,4.05931E+19,4.35E+32,-4.34795E+32,4.63654E+18,-4.52296E+19,-610.4405225,-610.4405225,-640.3263201,-640.3263201,29.88579753,29.88579753,0.891781191,-0.000366487,24953.58194,-24953.58194,0.001159283,-585,trans-[PtCl4Br2] 2-,44,oct,anion,hal,https://doi.org/10.1002/ejic.201600573,1.12E-03,[Pt-2]([Br])([Cl])([Cl])([Br])([Cl])[Cl]
1858098.653,-1.01664E+13,-2.54204E+12,217397734.3,2.54182E+12,2.54161E+12,7800000029,-1.44932E+16,1.44906E+16,4.05931E+19,4.35E+32,-4.34794E+32,4.63654E+18,-4.52296E+19,-610.4407303,-610.4407303,-639.7271337,-639.7271337,29.28640339,29.28640339,0.866235885,-9.49E-05,24953.59148,-24953.59148,0.332167452,-854,[PtCl5I]2-,45,oct,anion,hal,https://doi.org/10.1002/ejic.201600573,2.96E-01,[Pt-2]([Cl])([Cl])([Cl])([Cl])([Cl])[I]
1858098.694,-1.01664E+13,-2.54204E+12,217396760.2,2.54182E+12,2.54161E+12,7800000034,-1.44932E+16,1.44906E+16,4.05931E+19,4.35E+32,-4.34793E+32,4.63654E+18,-4.52296E+19,-610.4388175,-610.4388175,-643.9145252,-643.9145252,33.47570774,33.47570774,0.823502994,0.000128106,24953.59864,-24953.59864,0.237471614,-892,fac-[PtCl3Br3] 2-,46,oct,anion,hal,https://doi.org/10.1002/ejic.201600573,2.80E-01,[Pt-2]([Cl])([Cl])([Cl])([Br])([Br])[Br]
1858098.756,-1.01664E+13,-2.54204E+12,217396718.4,2.54182E+12,2.54161E+12,7800000034,-1.44932E+16,1.44906E+16,4.05931E+19,4.35E+32,-4.34795E+32,4.63654E+18,-4.52296E+19,-610.4389416,-610.4389416,-643.890197,-643.890197,33.45125537,33.45125537,0.824826501,3.71E-05,24953.59904,-24953.59904,0.139572571,-894,mer-[PtCl3Br3] 2-,47,oct,anion,hal,https://doi.org/10.1002/ejic.201600573,1.65E-01,[Pt-2]([Cl])([Cl])([Br])([Br])([Br])[Cl]
1858098.709,-1.01664E+13,-2.54204E+12,217395716,2.54182E+12,2.54161E+12,7800000037,-1.44932E+16,1.44906E+16,4.05931E+19,4.35E+32,-4.34794E+32,4.63654E+18,-4.52296E+19,-610.4374994,-610.4374994,-647.4559433,-647.4559433,37.01844389,37.01844389,0.755770977,-0.000395682,24953.61519,-24953.61519,0.196371338,-1213,cis-[PtCl2Br4] 2-,48,oct,anion,hal,https://doi.org/10.1002/ejic.201600573,2.19E-01,[Pt-2]([Br])([Br])([Br])([Br])([Cl])[Cl]
1858098.766,-1.01664E+13,-2.54204E+12,217395670.3,2.54182E+12,2.54161E+12,7800000037,-1.44932E+16,1.44906E+16,4.05931E+19,4.35E+32,-4.34795E+32,4.63654E+18,-4.52296E+19,-610.4376034,-610.4376034,-647.4289903,-647.4289903,36.99138682,36.99138682,0.757127895,-0.000352527,24953.61503,-24953.61503,0.004460847,-1216,trans-[PtCl2Br4] 2-,49,oct,anion,hal,https://doi.org/10.1002/ejic.201600573,4.43E-03,[Pt-2]([Cl])([Br])([Br])([Cl])([Br])[Br]
