Complex,Source_doi,Charge,Shift,Dipole,q,Brutto,Charge_class,Geometry,Ligand,Smiles,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
40,https://doi.org/10.1002/ejic.201600573,-2000,0,884.6,496,[PtCl6] 2-,anion,oct,hal,[Pt-2]([Cl])([Cl])([Cl])([Cl])([Cl])[Cl],559.7806737,559.7806414,559.7796998,559.779701,559.7716715,559.7716281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,https://doi.org/10.1002/ejic.201600573,-2000,-286,1247,463,[PtCl5Br]2-,anion,oct,hal,[Pt-2]([Cl])([Cl])([Cl])([Cl])([Cl])[Br],1089.911803,557.5561157,557.5560849,557.5560664,557.5560335,559.2874029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,https://doi.org/10.1002/ejic.201600573,-2000,-311,1086.1,391,[PtBr5F]2-,anion,oct,hal,[Pt-2]([Br])([F])([Br])([Br])([Br])[Br],1075.266232,1072.436131,1072.436035,1072.435024,1072.433444,349.4725002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,https://doi.org/10.1002/ejic.201600573,-2000,-583,1039.9,426,cis-[PtCl4Br2] 2-,anion,oct,hal,[Pt-2]([Br])([Br])([Cl])([Cl])([Cl])[Cl],1089.091489,1089.091379,554.9493881,554.9493884,556.6307037,556.6306691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,https://doi.org/10.1002/ejic.201600573,-2000,-585,970.1,428,trans-[PtCl4Br2] 2-,anion,oct,hal,[Pt-2]([Br])([Cl])([Cl])([Br])([Cl])[Cl],1081.150417,1081.149195,555.5477147,555.5477257,555.5477052,555.5477013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,https://doi.org/10.1002/ejic.201600573,-2000,-854,1459.3,401,[PtCl5I]2-,anion,oct,hal,[Pt-2]([Cl])([Cl])([Cl])([Cl])([Cl])[I],1546.878328,556.620129,556.6201312,556.6201325,556.6201345,562.0699715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,https://doi.org/10.1002/ejic.201600573,-2000,-892,1352.9,388,fac-[PtCl3Br3] 2-,anion,oct,hal,[Pt-2]([Cl])([Cl])([Cl])([Br])([Br])[Br],1085.746964,1085.746952,1085.746849,553.7953685,553.7953474,553.7953444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,https://doi.org/10.1002/ejic.201600573,-2000,-894,1102.9,389,mer-[PtCl3Br3] 2-,anion,oct,hal,[Pt-2]([Cl])([Cl])([Br])([Br])([Br])[Cl],1088.65165,1079.429091,1079.429116,552.5616346,552.5618743,554.3393724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,https://doi.org/10.1002/ejic.201600573,-2000,-1213,1001.4,349,cis-[PtCl2Br4] 2-,anion,oct,hal,[Pt-2]([Br])([Br])([Br])([Br])([Cl])[Cl],1083.03868,1083.038647,1075.578969,1075.577199,551.3742738,551.3742754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,https://doi.org/10.1002/ejic.201600573,-2000,-1216,1017.5,350,trans-[PtCl2Br4] 2-,anion,oct,hal,[Pt-2]([Cl])([Br])([Br])([Cl])([Br])[Br],1078.260066,1078.25988,1078.259513,1078.259326,549.8495798,549.849577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,https://doi.org/10.1002/ejic.201600573,-2000,-1547,931.6,309,[PtClBr5] 2-,anion,oct,hal,[Pt-2]([Br])([Br])([Br])([Br])([Cl])[Br],1078.366266,1072.621154,1072.621639,1072.621307,1072.6214,548.8553353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,https://doi.org/10.1002/ejic.201600573,-2000,-1806,1405.4,297,cis-[PtCl4I2] 2-,anion,oct,hal,[Pt-2]([Cl])([Cl])([Cl])([Cl])([I])[I],1541.356524,1541.164823,552.470036,552.470054,558.359504,558.3632181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,https://doi.org/10.1002/ejic.201600573,-2000,-1884,901.6,304,trans-[PtCl4I2] 2-,anion,oct,hal,[Pt-2]([Cl])([Cl])([I])([Cl])([Cl])[I],1537.641235,1537.630333,553.1692569,553.1692587,553.1692563,553.1692582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
